Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
MSI,USDCNH,1000000.0,19973409.0,10.0,3.0
MSI,USDCOP,0.0,1650000.0,0,5.0
MSI,USDCZK,0.0,193963.0,0,6.0
MSI,USDHKD,0.0,235154.0,0,1.0
MSI,USDHUF,0.0,64382.0,0,8.0
MSI,USDIDR,0.0,1380000.0,0,8.0
MSI,USDILS,1000000.0,8550286.0,8.0,2.0
MSI,USDINR,0.0,35300000.0,0,8.0
MSI,USDJPY,35580000.0,14777047.0,11.0,8.0
MSI,USDKRW,0.0,1950000.0,0,13.0
MSI,USDMXN,860000.0,11653929.0,11.0,5.0
MSI,USDNOK,0.0,9335907.0,0,3.0
MSI,USDPHP,0.0,7160210.0,0,4.0
MSI,USDPLN,0.0,368229.0,0,4.0
MSI,USDSEK,0.0,12487116.0,0,3.0
MSI,USDSGD,0.0,1828529.0,0,7.0
MSI,USDTHB,5230000.0,507533.0,6.0,8.0
MSI,USDTWD,0.0,9830000.0,0,9.0
MSI,USDZAR,0.0,1731836.0,0,10.0
NOMFX,AUDUSD,51869374.0,225514008.0,14.0,5.0
NOMFX,EURGBP,1099384.0,0.0,8.0,0
NOMFX,EURNOK,3649956.0,0.0,11.0,0
NOMFX,EURPLN,0.0,0.0,0,0
NOMFX,EURSEK,1145264.0,0.0,14.0,0
NOMFX,EURUSD,34812931.0,155977773.0,13.0,6.0
NOMFX,GBPUSD,21454748.0,209868687.0,14.0,4.0
NOMFX,NZDUSD,20153144.0,115509.0,10.0,14.0
NOMFX,USDCAD,18280000.0,0.0,12.0,0
NOMFX,USDCHF,30450000.0,6185467.0,12.0,8.0
NOMFX,USDCNH,0.0,3552767.0,0,7.0
NOMFX,USDCZK,0.0,17766386.0,0,2.0
NOMFX,USDHUF,0.0,11458637.0,0,3.0
NOMFX,USDJPY,9620000.0,543501.0,15.0,13.0
NOMFX,USDKRW,0.0,9770000.0,0,8.0
NOMFX,USDMXN,600000.0,0.0,12.0,0
NOMFX,USDPHP,0.0,8026.0,0,12.0
NOMFX,USDSGD,1000000.0,2060539.0,13.0,6.0
NOMFX,USDZAR,1000000.0,2951107.0,11.0,8.0
